,T2M,ALLSKY_SFC_SW_DWN
2017-06-01 0:00,12.31,0
2017-06-01 1:00,11.66,0
2017-06-01 2:00,10.86,0
2017-06-01 3:00,10.23,0
2017-06-01 4:00,9.89,10.38
2017-06-01 5:00,10.22,74.53
2017-06-01 6:00,11.05,181.75
2017-06-01 7:00,12.44,272.87
2017-06-01 8:00,13.76,431.98
2017-06-01 9:00,14.34,551.49
2017-06-01 10:00,14.94,742.57
2017-06-01 11:00,15.54,595.69
2017-06-01 12:00,16.19,571.73
2017-06-01 13:00,16.63,478.77
2017-06-01 14:00,16.59,503.49
2017-06-01 15:00,16.52,443.74
2017-06-01 16:00,15.87,307.31
2017-06-01 17:00,14.66,176.96
2017-06-01 18:00,13.22,74.4
2017-06-01 19:00,11.1,12.96
2017-06-01 20:00,9.8,0
2017-06-01 21:00,9.77,0
2017-06-01 22:00,9.68,0
2017-06-01 23:00,9.45,0
2017-06-02 0:00,9.09,0
2017-06-02 1:00,8.93,0
2017-06-02 2:00,8.95,0
2017-06-02 3:00,8.93,0
2017-06-02 4:00,8.59,10.91
2017-06-02 5:00,8.85,70.13
2017-06-02 6:00,9.3,148.72
2017-06-02 7:00,10.05,222.71
2017-06-02 8:00,11.23,322.23
2017-06-02 9:00,12.48,473.66
2017-06-02 10:00,13.12,572.55
2017-06-02 11:00,13.57,533.4
2017-06-02 12:00,14.26,468.98
2017-06-02 13:00,14.83,451.62
2017-06-02 14:00,15.01,378.52
2017-06-02 15:00,15.1,262.78
2017-06-02 16:00,14.84,201.63
2017-06-02 17:00,14.17,120.23
2017-06-02 18:00,13.02,65.21
2017-06-02 19:00,11.75,9.34
2017-06-02 20:00,11,0
2017-06-02 21:00,10.47,0
2017-06-02 22:00,9.41,0
2017-06-02 23:00,8.73,0
2017-06-03 0:00,7.94,0
2017-06-03 1:00,7.47,0
2017-06-03 2:00,7.22,0
2017-06-03 3:00,7.09,0
2017-06-03 4:00,7.2,12.05
2017-06-03 5:00,7.54,64.41
2017-06-03 6:00,8.65,141.49
2017-06-03 7:00,10.68,239.32
2017-06-03 8:00,12.7,326.59
2017-06-03 9:00,14.57,351.02
2017-06-03 10:00,16.14,369.93
2017-06-03 11:00,17.18,549.65
2017-06-03 12:00,17.75,601.23
2017-06-03 13:00,18.08,633.16
2017-06-03 14:00,18.37,611.77
2017-06-03 15:00,18.15,483.27
2017-06-03 16:00,17.98,359.16
2017-06-03 17:00,17.52,240.95
2017-06-03 18:00,16.28,121.97
2017-06-03 19:00,13.65,16.56
2017-06-03 20:00,12.59,0
2017-06-03 21:00,11.8,0
2017-06-03 22:00,11.31,0
2017-06-03 23:00,11.12,0
2017-06-04 0:00,10.91,0
2017-06-04 1:00,11.03,0
2017-06-04 2:00,11.19,0
2017-06-04 3:00,10.41,0
2017-06-04 4:00,10.2,10.41
2017-06-04 5:00,11.38,81.49
2017-06-04 6:00,12.9,229.73
2017-06-04 7:00,14.59,357.54
2017-06-04 8:00,16.1,440.89
2017-06-04 9:00,17.22,450.22
2017-06-04 10:00,16.98,531
2017-06-04 11:00,16.53,511.64
2017-06-04 12:00,16.9,402.31
2017-06-04 13:00,18.28,224.32
2017-06-04 14:00,18.46,240.32
2017-06-04 15:00,17.65,146.09
2017-06-04 16:00,15.94,101.33
2017-06-04 17:00,14.9,56.03
2017-06-04 18:00,14.37,48.37
2017-06-04 19:00,13.3,10.19
2017-06-04 20:00,12.9,0
2017-06-04 21:00,12.88,0
2017-06-04 22:00,12.85,0
2017-06-04 23:00,12.69,0
2017-06-05 0:00,12.48,0
2017-06-05 1:00,12.29,0
2017-06-05 2:00,12.2,0
2017-06-05 3:00,12.03,0
2017-06-05 4:00,11.95,9.23
2017-06-05 5:00,12.2,42.38
2017-06-05 6:00,12.71,65.03
2017-06-05 7:00,13.54,112.59
2017-06-05 8:00,14.62,161.53
2017-06-05 9:00,16.01,178.01
2017-06-05 10:00,16.57,203
2017-06-05 11:00,16.34,169.77
2017-06-05 12:00,16.48,222.2
2017-06-05 13:00,16.15,147.01
2017-06-05 14:00,15.94,145.26
2017-06-05 15:00,15.85,107.04
2017-06-05 16:00,15.71,70.9
2017-06-05 17:00,15.11,35.59
2017-06-05 18:00,14.09,38.53
2017-06-05 19:00,13.22,9.23
2017-06-05 20:00,12.91,0
2017-06-05 21:00,12.88,0
2017-06-05 22:00,12.81,0
2017-06-05 23:00,12.63,0
2017-06-06 0:00,12.46,0
2017-06-06 1:00,12.3,0
2017-06-06 2:00,12.18,0
2017-06-06 3:00,12.01,0
2017-06-06 4:00,11.74,9.12
2017-06-06 5:00,11.57,35.23
2017-06-06 6:00,11.68,42.74
2017-06-06 7:00,11.97,100.68
2017-06-06 8:00,12.33,82.45
2017-06-06 9:00,12.63,98.45
2017-06-06 10:00,12.69,148.9
2017-06-06 11:00,12.67,204.84
2017-06-06 12:00,12.62,229.32
2017-06-06 13:00,12.61,273.55
2017-06-06 14:00,12.76,281.48
2017-06-06 15:00,12.88,200.55
2017-06-06 16:00,12.94,150.5
2017-06-06 17:00,12.8,141.23
2017-06-06 18:00,12.07,47.37
2017-06-06 19:00,10.61,14.93
2017-06-06 20:00,9.63,0
2017-06-06 21:00,8.26,0
2017-06-06 22:00,7.12,0
2017-06-06 23:00,7.09,0
2017-06-07 0:00,6.88,0
2017-06-07 1:00,6.88,0
2017-06-07 2:00,6.72,0
2017-06-07 3:00,6.84,0
2017-06-07 4:00,7.08,18.09
2017-06-07 5:00,8.21,133.05
2017-06-07 6:00,10.08,301.58
2017-06-07 7:00,13.08,483.92
2017-06-07 8:00,16.3,649.36
2017-06-07 9:00,19.09,779.13
2017-06-07 10:00,21.25,870.47
2017-06-07 11:00,22.59,939.36
2017-06-07 12:00,23.48,937.21
2017-06-07 13:00,23.97,874.89
2017-06-07 14:00,24.06,780.14
2017-06-07 15:00,23.76,647.26
2017-06-07 16:00,23.3,499.73
2017-06-07 17:00,22.19,311.07
2017-06-07 18:00,19.95,136.96
2017-06-07 19:00,16.88,21.02
2017-06-07 20:00,15.59,0
2017-06-07 21:00,15.08,0
2017-06-07 22:00,14.99,0
2017-06-07 23:00,14.36,0
2017-06-08 0:00,13.58,0
2017-06-08 1:00,12.86,0
2017-06-08 2:00,12.26,0
2017-06-08 3:00,11.72,0
2017-06-08 4:00,11.55,19.15
2017-06-08 5:00,12.65,141.2
2017-06-08 6:00,14.29,315.37
2017-06-08 7:00,17.14,493.33
2017-06-08 8:00,20.71,654.5
2017-06-08 9:00,23.36,785.05
2017-06-08 10:00,24.75,860
2017-06-08 11:00,25.41,895.5
2017-06-08 12:00,25.64,892.3
2017-06-08 13:00,25.57,763.58
2017-06-08 14:00,25.26,685.95
2017-06-08 15:00,24.76,567.5
2017-06-08 16:00,24.34,397.16
2017-06-08 17:00,23.88,242.3
2017-06-08 18:00,21.61,103.58
2017-06-08 19:00,18.45,17.89
2017-06-08 20:00,16.65,0
2017-06-08 21:00,15.88,0
2017-06-08 22:00,15.09,0
2017-06-08 23:00,14.6,0
2017-06-09 0:00,14.56,0
2017-06-09 1:00,13.97,0
2017-06-09 2:00,12.69,0
2017-06-09 3:00,11.83,0
2017-06-09 4:00,11.55,13.6
2017-06-09 5:00,13.45,83.14
2017-06-09 6:00,15.1,176.61
2017-06-09 7:00,17.31,291.2
2017-06-09 8:00,18.8,422.57
2017-06-09 9:00,19.76,533.34
2017-06-09 10:00,20.58,624
2017-06-09 11:00,21.85,686.16
2017-06-09 12:00,22.69,726.75
2017-06-09 13:00,21.62,631.35
2017-06-09 14:00,20.57,562.59
2017-06-09 15:00,20.29,548.45
2017-06-09 16:00,20.1,432.58
2017-06-09 17:00,19.64,307.73
2017-06-09 18:00,18.31,137.59
2017-06-09 19:00,16.02,19.92
2017-06-09 20:00,14.83,0
2017-06-09 21:00,13.91,0
2017-06-09 22:00,12.31,0
2017-06-09 23:00,11.06,0
2017-06-10 0:00,10.39,0
2017-06-10 1:00,10.01,0
2017-06-10 2:00,9.66,0
2017-06-10 3:00,10.16,0
2017-06-10 4:00,10.37,14.8
2017-06-10 5:00,11.47,111.86
2017-06-10 6:00,13.19,276.76
2017-06-10 7:00,16.29,445.37
2017-06-10 8:00,18.8,612.37
2017-06-10 9:00,20.57,765.72
2017-06-10 10:00,21.79,815.2
2017-06-10 11:00,22.53,821.08
2017-06-10 12:00,22.88,855.23
2017-06-10 13:00,23.14,732.32
2017-06-10 14:00,23.46,605.55
2017-06-10 15:00,22.98,422.45
2017-06-10 16:00,22.23,282.51
2017-06-10 17:00,21.85,164.87
2017-06-10 18:00,21.08,74.76
2017-06-10 19:00,19.51,14.46
2017-06-10 20:00,18.47,0
2017-06-10 21:00,17.8,0
2017-06-10 22:00,17.38,0
2017-06-10 23:00,17.11,0
2017-06-11 0:00,16.83,0
2017-06-11 1:00,16.64,0
2017-06-11 2:00,16.44,0
2017-06-11 3:00,16.26,0
2017-06-11 4:00,16.34,15.75
2017-06-11 5:00,17.17,110.66
2017-06-11 6:00,18.76,268.55
2017-06-11 7:00,20.87,441.92
2017-06-11 8:00,22.8,613.29
2017-06-11 9:00,24.44,731.31
2017-06-11 10:00,25.76,776.69
2017-06-11 11:00,26.86,833.74
2017-06-11 12:00,27.76,797.84
2017-06-11 13:00,28.37,818.23
2017-06-11 14:00,28.55,761.77
